 _   _                           _        _     _     _   
libglib2.0-data/kali-rolling 2.84.1-2 all [upgradable from: 2.84.1-1]
libglx-mesa0/kali-rolling 25.0.5-1 amd64 [upgradable from: 25.0.4-1]
libgpgme11t64/kali-rolling 1.24.2-3 amd64 [upgradable from: 1.24.2-1+b1]
libgpgmepp6t64/kali-rolling 1.24.2-3 amd64 [upgradable from: 1.24.2-1+b1]
libgs-common/kali-rolling 10.05.1~dfsg-1 all [upgradable from: 10.05.0~dfsg-1]
libgs10-common/kali-rolling 10.05.1~dfsg-1 all [upgradable from: 10.05.0~dfsg-1]
libgs10/kali-rolling 10.05.1~dfsg-1 amd64 [upgradable from: 10.05.0~dfsg-1]
libgstreamer-gl1.0-0/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-1]
libgstreamer-plugins-bad1.0-0/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-1]
libgstreamer-plugins-base1.0-0/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-1]
libgstreamer1.0-0/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-3]
libgtk-4-1/kali-rolling 4.18.5+ds-1 amd64 [upgradable from: 4.18.4+ds-2]
libgtk-4-bin/kali-rolling 4.18.5+ds-1 amd64 [upgradable from: 4.18.4+ds-2]
libgtk-4-common/kali-rolling 4.18.5+ds-1 all [upgradable from: 4.18.4+ds-2]
libgtk-4-media-gstreamer/kali-rolling 4.18.5+ds-1 amd64 [upgradable from: 4.18.4+ds-2]
libheif-plugin-aomenc/kali-rolling 1.19.8-1 amd64 [upgradable from: 1.19.7-1]
libheif-plugin-dav1d/kali-rolling 1.19.8-1 amd64 [upgradable from: 1.19.7-1]
libheif-plugin-libde265/kali-rolling 1.19.8-1 amd64 [upgradable from: 1.19.7-1]
libheif-plugin-x265/kali-rolling 1.19.8-1 amd64 [upgradable from: 1.19.7-1]
libheif1/kali-rolling 1.19.8-1 amd64 [upgradable from: 1.19.7-1]
libhwloc-plugins/kali-rolling 2.12.0-4 amd64 [upgradable from: 2.12.0-1]
libhwloc15/kali-rolling 2.12.0-4 amd64 [upgradable from: 2.12.0-1]
libjavascriptcoregtk-4.1-0/kali-rolling 2.48.1-3 amd64 [upgradable from: 2.48.1-2]
libjpeg-turbo-progs/kali-rolling 1:2.1.5-4 amd64 [upgradable from: 1:2.1.5-3.1]
libjpeg62-turbo/kali-rolling 1:2.1.5-4 amd64 [upgradable from: 1:2.1.5-3.1]
libkmod2/kali-rolling 34.2-2kali1 amd64 [upgradable from: 34.2-2]
libneon27t64-gnutls/kali-rolling 0.34.2-1 amd64 [upgradable from: 0.34.0-1]
libneon27t64/kali-rolling 0.34.2-1 amd64 [upgradable from: 0.34.0-1]
libnet1/kali-rolling 1.3+dfsg-2 amd64 [upgradable from: 1.3+dfsg-1]
libnode-dev/kali-rolling 20.19.0+dfsg1-1 amd64 [upgradable from: 20.19.0+dfsg-2]
libnode115/kali-rolling 20.19.0+dfsg1-1 amd64 [upgradable from: 20.19.0+dfsg-2]
libnuma1/kali-rolling 2.0.19-1 amd64 [upgradable from: 2.0.18-1+b1]
libnvme1t64/kali-rolling 1.13-2 amd64 [upgradable from: 1.13-1]
libpackagekit-glib2-18/kali-rolling 1.3.1-1 amd64 [upgradable from: 1.3.0-3+b1]
libpam-wtmpdb/kali-rolling 0.73.0-3 amd64 [upgradable from: 0.73.0-2]
libplymouth5/kali-rolling 24.004.60-4 amd64 [upgradable from: 24.004.60-2+b2]
libpng16-16t64/kali-rolling 1.6.48-1 amd64 [upgradable from: 1.6.47-1.1]
libpq5/kali-rolling 17.5-1 amd64 [upgradable from: 17.4-2]
libprotobuf32t64/kali-rolling 3.21.12-11 amd64 [upgradable from: 3.21.12-10+b6]
libpython3-dev/kali-rolling 3.13.3-1 amd64 [upgradable from: 3.13.2-2]
libpython3-stdlib/kali-rolling 3.13.3-1 amd64 [upgradable from: 3.13.2-2]
libpython3.13-dev/kali-rolling 3.13.3-2 amd64 [upgradable from: 3.13.2-2]
libpython3.13-minimal/kali-rolling 3.13.3-2 amd64 [upgradable from: 3.13.2-2]
libpython3.13-stdlib/kali-rolling 3.13.3-2 amd64 [upgradable from: 3.13.2-2]
libpython3.13/kali-rolling 3.13.3-2 amd64 [upgradable from: 3.13.2-2]
libqt6multimedia6/kali-rolling 6.8.2-8 amd64 [upgradable from: 6.8.2-7]
librav1e0.7/kali-rolling 0.7.1-9+b2 amd64 [upgradable from: 0.7.1-9+b1]
libruby3.3/kali-rolling 3.3.8-2 amd64 [upgradable from: 3.3.8-1]
libsnmp-base/kali-rolling 5.9.4+dfsg-2 all [upgradable from: 5.9.4+dfsg-1.1]
libsnmp40t64/kali-rolling 5.9.4+dfsg-2 amd64 [upgradable from: 5.9.4+dfsg-1.1+b3]
libsoup-2.4-1/kali-rolling 2.74.3-10.1 amd64 [upgradable from: 2.74.3-10]
libsoup2.4-common/kali-rolling 2.74.3-10.1 all [upgradable from: 2.74.3-10]
libspeechd-module0/kali-rolling 0.12.0-4 amd64 [upgradable from: 0.12.0-3]
libspeechd2/kali-rolling 0.12.0-4 amd64 [upgradable from: 0.12.0-3]
libsqlite3-0/kali-rolling 3.46.1-4 amd64 [upgradable from: 3.46.1-3]
libtree-sitter0.22/kali-rolling 0.22.6-6+b1 amd64 [upgradable from: 0.22.6-6]
libturbojpeg0/kali-rolling 1:2.1.5-4 amd64 [upgradable from: 1:2.1.5-3.1]
libv4l-0t64/kali-rolling 1.30.1-1 amd64 [upgradable from: 1.28.1-1]
libv4lconvert0t64/kali-rolling 1.30.1-1 amd64 [upgradable from: 1.28.1-1]
